enginehub CommandHelper
gwtquery gwtquery
lucmoreau ProvToolbox
Emielvr ti2206-space-invaders
Johnny-Liao CrazyDog
simpligility android-maven-plugin
GoogleCloudPlatform appengine-tck
craftercms engine
greese dasein-cloud-vcloud
jenkinsci copyartifact-plugin
ha-jdbc ha-jdbc
pcpratts rootbeer1
gwt-maven-plugin gwt-maven-plugin
ceylon ceylon-ide-eclipse
google guice
hazelcast hazelcast-code-samples
gwtbootstrap3 gwtbootstrap3-demo
jtalks-org functional-tests
leleuj pac4j
greese dasein-cloud-vsphere
hungnguyen94 BTrouble
uber phabricator-jenkins-plugin
jmacglashan burlap
openworm org.geppetto.core
kohsuke args4j
jenkinsci mercurial-plugin
jenkinsci promoted-builds-plugin
xnio xnio
NilsHullegien TempleRunGroup5
Cas-B Group17-BubbleBobble
DenizenScript Denizen-for-Bukkit
teamed qulice
evrythng evrythng-java-sdk
peakgames libgdx-stagebuilder
jcabi jcabi-aspects
square protoparser
arquillian arquillian-cube
kiiadi abc-bank
spring-projects spring-data-couchbase
apache cayenne
ox-it wl-kernel
fenix-framework fenix-framework
mvel mvel
bluesoft-rnd aperte-workflow-core
USGS-CIDA WQP-WQX-Services
caskdata tephra
DozerMapper dozer
mapzen open
jboss-set pull-shared
Cognifide Slice
jberkel sms-backup-plus
protostuff protostuff
demoiselle behave
jmxtrans embedded-jmxtrans
jbosstools jbosstools-hibernate
zanata zanata-client
arjovanramshorst bubble-bobble-sem
seedstack seed
vipinsthename environment-dashboard
brooklyncentral advanced-networking
wso2 carbon-storage-management
OpenMRS openmrs-module-emrapi
scijava scijava-common
sanity quickml
appium java-client
vkostyukov la4j
junkdog artemis-odb
yegor256 s3auth
caelum caelum-stella
wso2 jaggery
square otto
OpenMRS openmrs-module-htmlformentry
jgheerardyn yields
wso2 siddhi
spring-projects spring-data-rest
webdetails cpf
meltmedia cadmium
owncloud android-library
yahoo samoa
enviroCar enviroCar-server
jclouds jclouds-examples
objectos pojo
searchbox-io Jest
Ishadijcks SEMgroup32
OpenHFT Chronicle-Queue
square okio
yegor256 rultor
joelittlejohn jsonschema2pojo
tcurdt jdeb
cdi-spec cdi-tck
jline jline2
cbeust jcommander
esigate esigate
wso2 product-bps
spring-projects spring-data-neo4j
undera jmeter-plugins
shrinkwrap resolver
exoplatform calendar
openshift openshift-restclient-java
jenkinsci mesos-plugin
ox-it wl-citations
crashub crash
PEXPlugins PermissionsEx
springside springside4
fabric8io fabric8-ipaas
motech modules
spring-projects spring-data-elasticsearch
hpcc-systems hpcc-jdbc
JodaOrg joda-time
FollettSchoolSolutions perfmon4j-reports
peholmst vaadin4spring
relayrides pushy
apache karaf
spotify docker-maven-plugin
cbeust testng-eclipse
impossibl pgjdbc-ng
FluentLenium FluentLenium
ClintonCao Fishy
hal core
jenkinsci parameterized-trigger-plugin
OpenMRS openmrs-module-reporting
shrinkwrap shrinkwrap
akormushin fizteh-java-2015
boniface hashwork
charite jannovar
Lyho8 EchangeServiceWeb
SEMGR8 game
iluwatar java-design-patterns
geomajas geomajas-project-server
cloudfoundry cf-java-client
maven-nar nar-maven-plugin
apache cxf
jenkinsci github-plugin
mboom TI2206
googlegenomics dataflow-java
spring-projects spring-security-oauth
languagetool-org languagetool
zenoss zenoss-zep
DigitalPebble storm-crawler
OpenMRS openmrs-distro-referenceapplication
crosswire jsword
MoodCat MoodCat.me-Core
physion ovation-ui2
apache jena
AxonFramework AxonFramework
EHRI ehri-rest
AzureAD azure-activedirectory-library-for-android
owlcs owlapi
themanwhosold notenrechner
eirslett frontend-maven-plugin
pentaho pentaho-mongodb-plugin
thervh70 SEM_Team9
groupon odo
iipc openwayback
tananaev traccar
spotify cassandra-reaper
ObeoNetwork UML-Designer
groovy groovy-eclipse
facebook nifty
apache maven-surefire
jenkinsci email-ext-plugin
droolsjbpm droolsjbpm-knowledge
freedomotic freedomotic
janinko ghprb
jenkinsci jclouds-plugin
rgladwell m2e-android
OpenMRS openmrs-module-fhir
nutzam nutz
square keywhiz
ArcBees gwtchosen
spring-projects spring-data-commons
LiveRamp jack
apache sling
wso2 developer-studio
runtimeverification javamop
52North WPS
jglobus JGlobus
jclouds jclouds-karaf
jbosstools jbosstools-livereload
dswarm dswarm
brettwooldridge HikariCP
craftercms profile
lightblue-platform lightblue-rest
brooklyncentral clocker
sugarcrm candybean
apache commons-lang
spring-cloud spring-cloud-netflix
nmdp-bioinformatics ngs
Alfresco alfresco-android-sdk
geomajas geomajas-project-client-gwt
twilio twilio-java
zxing zxing
zendesk maxwell
release-engineering pom-manipulation-ext
pac4j pac4j
robovm robovm
perfectsense dari
woorea openstack-java-sdk
square javapoet
apache curator
UnifiedViews Plugins
JavaMoney jsr354-ri
spring-projects spring-data-jpa
jbosstools jbosstools-arquillian
teiid teiid-quickstarts
lightblue-platform lightblue-mongo
wso2 carbon-registry
yamcs Yamcs
jfeinstein10 SlidingMenu
chasethenag420 sbs
ELIT2014 essuir
HPI-Information-Systems Metanome
greese dasein-cloud-cloudstack
Progether JAdventure
jacoco jacoco
Sage-Bionetworks Synapse-Stack-Builder
Xephi AuthMeReloaded
jimhommes BubbleBobble
helun Ektorp
richardwilly98 elasticsearch-river-mongodb
Hansschouten context_health_informatics
spiderbiggen LaserSharks
apache phoenix
CloudSlang cloud-slang
lightblue-platform lightblue-client
pardom ActiveAndroid
internetarchive heritrix3
sap-production xcode-maven-plugin
HubSpot Baragon
slipstream SlipStreamServer
qos-ch slf4j
PayPal SeLion
Talend tdi-studio-se
OryxProject oryx
jenkinsci docker-plugin
SeaCloudsEU SeaCloudsPlatform
jbossas jboss-ejb-client
kohsuke github-api
spring-cloud spring-cloud-stream
javaee-samples javaee7-samples
sialcasa mvvmFX
devhub-tud DevHub
Wikidata Wikidata-Toolkit
p6spy p6spy
hpcc-systems EclipsePlugin
martiner gooddata-java
wso2 carbon-analytics
iZettle izettle-toolbox
scobal seyren
apache parquet-mr
droolsjbpm kie-wb-distributions
wso2 orbit
errai errai
arquillian arquillian-graphene
apache wicket
google auto
waarp WaarpR66
spring-projects spring-data-redis
jbosstools jbosstools-forge
ikasanEIP ikasan
stripe stripe-java
jitlogic zorka
greese dasein-cloud-openstack
jenkinsci subversion-plugin
geomajas geomajas-project-client-gwt2
exoplatform forum
zeromq jeromq
OpenGamma Strata
yegor256 takes
I-TECH openmrs-module-kenyaemr
AludraTest aludratest
osiam connector4java
droolsjbpm optaplanner
greese dasein-cloud-azure
collectionspace application
zalando-stups fullstop
jtalks-org jcommune
buddycloud buddycloud-server-java
jbosstm quickstart
apache activemq
imagej imagej-ops
temenostech IRIS
greese dasein-cloud-test
exoplatform integration
graphhopper graphhopper
mybatis mybatis-3
aeshell aesh
hazelcast hazelcast-simulator
rpjproost Context-project-Health-informatics-2
opencog relex
Cloudname cloudname
wso2 carbon-analytics-common
collectionspace services
tyrus-project tyrus
andrewphorn ClassiCube-Client
JacORB JacORB
energyos OpenESPI-Common-java
numenta htm.java
OpenGrok OpenGrok
exoplatform wiki
jenkinsci ec2-plugin
tinkerpop blueprints
apache incubator-apex-core
ciandt-dev tech-gallery
terasolunaorg terasoluna-tourreservation
apache mahout
terasolunaorg terasoluna-gfw-functionaltest
atlasapi atlas-feeds
addthis hydra
caelum vraptor
myui hivemall
biojava biojava
FasterXML jackson-databind
perwendel spark
jenkinsci git-client-plugin
MilkBowl Vault
zeromq jzmq
linkedin camus
GoogleCloudPlatform gcloud-java
gwtbootstrap3 gwtbootstrap3
aws aws-sdk-java
kuali rice
OfficeDev ews-java-api
SmartBear soapui
fabric8io kubernetes-client
apache drill
bonitasoft bonita-web
Teiid-Designer komodo
telefonicaid fiware-sdc
droolsjbpm guvnor
ArcBees arcbees-website
uberfire uberfire
thinkaurelius titan
fluo-io fluo
spotify docker-client
greese dasein-cloud-aws
Rise-Vision storage-server
jersey jersey
Cook1fan broadband
droolsjbpm jbpm-console-ng
facebook swift
ClemsonRSRG RESOLVE
jmxtrans jmxtrans
exoplatform jcr
ninjaframework ninja
Taeir fish-io
Sage-Bionetworks BridgeJavaSDK
dropwizard metrics
kaazing gateway
lightblue-platform lightblue-core
tygron-virtual-humans tygron-connect
hltfbk Excitement-Open-Platform
wso2 carbon-business-messaging
dalderliesten Scrumbledore
Pathemeous sem-group-4
apache ignite
openshift openshift-java-client
geenen124 Team1BubbleTrouble
yusuke twitter4j
webbukkit dynmap
atlasapi atlas-persistence
dana-i2cat mqnaas
joel-costigliola assertj-core
crawljax crawljax
eclipse birt
bonitasoft bonita-engine
droolsjbpm droolsjbpm-integration
capedwarf capedwarf-blue
jbosstools jbosstools-webservices
wso2 product-mb
BroadleafCommerce BroadleafCommerce
wso2 carbon-kernel
brianfrankcooper YCSB
belaban JGroups
wso2 carbon-business-process
deeplearning4j nd4j
radargun radargun
greese dasein-cloud-core
mapstruct mapstruct
hector-client hector
wso2 product-ml
pgjdbc pgjdbc
square dagger
GoogleCloudPlatform cloud-bigtable-client
hawkular hawkular-metrics
payara Payara
mcMMO-Dev mcMMO
apache incubator-streams
spring-projects spring-data-mongodb
apache activemq-artemis
opentripplanner OpenTripPlanner
Tcdl msb-java
SpigotMC BungeeCord
atlasapi atlas-model
OTBProject OTBProject
Talend tcommon-studio-se
bitbar testdroid-api
Parquet parquet-mr
SeqWare seqware
Governance rtgov
wildfly-security wildfly-elytron
airlift airlift
bonitasoft bonita-studio
magefree mage
jbosstools jbosstools-vpe
undertow-io undertow
droolsjbpm jbpm
swagger-api swagger-core
TotalFreedom TotalFreedomMod
greese dasein-cloud-google
samarthgupta437 falcon-regression
basho riak-java-client
cbeust testng
twizmwazin CardinalPGM
square picasso
OpenClinica OpenClinica
jbosstools jbosstools-central
caskdata coopr
liveoak-io liveoak
square wire
deeplearning4j deeplearning4j
UniversalMediaServer UniversalMediaServer
verapdf veraPDF-library
jbosstools jbosstools-server
molgenis systemsgenetics
jbosstools jbosstools-javaee
proofpoint platform
wso2 wso2-synapse
ArcBees GWTP
wso2 product-esb
kite-sdk kite
exoplatform social
Rancher cattle
datacleaner DataCleaner
lobid lodmill
wildfly-extras wildfly-camel
javaslang javaslang
BaseXdb basex
bitcoinj bitcoinj
hibernate hibernate-validator
jboss-switchyard quickstarts
xwiki xwiki-platform
OpenNMS opennms
deegree deegree3
jbosstools jbosstools-base
jboss-fuse fabric8
wso2 carbon-mediation
wso2 andes
xetorthio jedis
jboss-switchyard release
eclipse vert.x
SonarSource sonar-java
jboss-fuse fuse
apache stratos
picketlink picketlink
rackerlabs blueflood
datastax java-driver
square retrofit
eclipse smarthome
Teiid-Designer teiid-designer
maxcom lorsource
liquibase liquibase
floodlight floodlight
HubSpot Singularity
fcrepo4 fcrepo4
teiid teiid
jboss-switchyard tools
exoplatform platform
jcabi jcabi-github
dropwizard dropwizard
jbosstools jbosstools-jst
mozilla-services android-sync
querydsl querydsl
droolsjbpm drools
griddynamics jagger
pentaho big-data-plugin
aerogear aerogear-unifiedpush-server
Jasig uPortal
FenixEdu fenixedu-academic
denimgroup threadfix
timmolter XChange
hibernate hibernate-ogm
alibaba druid
spotify helios
Silverpeas Silverpeas-Core
resteasy Resteasy
apache camel
jboss-switchyard core
windup windup
metamx druid
caelum vraptor4
atlasapi atlas
druid-io druid
essentials Essentials
jboss-switchyard components
jbosstools jbosstools-openshift
e-ucm ead
fabric8io ipaas-quickstarts
apache tajo
spring-projects spring-boot
liferay liferay-faces
jboss-reddeer reddeer
jbosstm narayana
hibernate hibernate-search
candlepin candlepin
apache incubator-brooklyn
geotools geotools
zanata zanata-server
square okhttp
apache flink
CONNECT-Solution CONNECT
DSpace DSpace
weld core
wildfly wildfly-core
jbosstools jbosstools-integration-tests
wso2 carbon-identity
Gooru Gooru-Core-API
netty netty
dCache dcache
mulesoft mule
Sage-Bionetworks Synapse-Repository-Services
fabric8io fabric8
infinispan infinispan
hazelcast hazelcast
caskdata cdap
Gooru Gooru-Web
wildfly wildfly
